,id,customer_id,country_id,tbl_loan_id,lender_id,loan_type,loan_risk,total_amount,total_amount_to_repay,interest_rate,disbursement_date,due_date,duration,amount_funded_by_lender,lender_portion_funded,lender_portion_to_be_repaid,new_versus_repeat,target,interest_rate_bin,interest_rate_bin_encoded,daily_loan_cost,cost_category,cost_category_encoded,to_repay_log,disbursement_month,disbursement_quarter,due_month,due_quarter,interaction1
10,ID_253607237639267278,253607,Kenya,237639,267278,Type_1,Low Risk,4059.0,4206.0,188.83961566888397,2022-08-16,2022-08-23,7,1217.7,0.3,1262.0,Repeat Loan,0,Exorbitant,1,21.0,Moderate,2,8.344505083590521,8,3,8,3,3_7
11,ID_264826243416267278,264826,Kenya,243416,267278,Type_1,Low Risk,12598.0,12598.0,0.0,2022-08-24,2022-08-31,7,3779.4,0.3,3779.0,Repeat Loan,0,Normal,0,0.0,Zero,0,9.44137272471063,8,3,8,3,3_7
12,ID_257317300197267278,257317,Kenya,300197,267278,Type_1,Low Risk,7048.0,7048.0,0.0,2022-11-17,2022-11-24,7,2114.4,0.3,2114.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.860641041773876,11,4,11,4,4_7
13,ID_263147273208267278,263147,Kenya,273208,267278,Type_1,Low Risk,6121.0,6309.0,160.15123579247089,2022-10-03,2022-10-10,7,16.11,0.0026319228884169,17.0,Repeat Loan,0,Exorbitant,1,26.857142857142858,High,3,8.749890955535259,10,4,10,4,4_7
14,ID_253041287923267278,253041,Kenya,287923,267278,Type_1,Low Risk,1600.0,1600.0,0.0,2022-10-25,2022-11-01,7,0.0,0.0,0.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.3783837129967145,10,4,11,4,4_7
15,ID_257604265483267278,257604,Kenya,265483,267278,Type_1,Low Risk,11698.0,11698.0,0.0,2022-09-22,2022-09-29,7,3509.4,0.3,3509.0,Repeat Loan,0,Normal,0,0.0,Zero,0,9.367258647047601,9,3,9,3,3_7
16,ID_244946261098251804,244946,Kenya,261098,251804,Type_5,High Risk,16000.0,16900.0,146.6517857142857,2022-09-17,2022-10-01,14,2560.0,0.16,2704.0,Repeat Loan,0,Exorbitant,1,64.28571428571429,High,3,9.735128070758227,9,3,10,3,3_14
17,ID_247107201246267278,247107,Kenya,201246,267278,Type_5,High Risk,14000.0,14800.0,148.9795918367347,2022-06-27,2022-07-11,14,2240.0,0.16,2368.0,Repeat Loan,0,Exorbitant,1,57.142857142857146,High,3,9.60245002503719,6,2,7,2,2_14
18,ID_254585246721267278,254585,Kenya,246721,267278,Type_1,Low Risk,4799.0,4872.0,79.31711963801982,2022-08-29,2022-09-05,7,1439.7,0.3,1462.0,Repeat Loan,0,Exorbitant,1,10.428571428571429,Moderate,2,8.491465042843506,8,3,9,3,3_7
19,ID_256272266304267278,256272,Kenya,266304,267278,Type_1,Low Risk,480.0,480.0,0.0,2022-09-23,2022-09-30,7,144.0,0.3,144.0,Repeat Loan,0,Normal,0,0.0,Zero,0,6.175867270105761,9,3,9,3,3_7
20,ID_254787269376267278,254787,Kenya,269376,267278,Type_1,Low Risk,6797.0,6874.0,59.07017801971458,2022-09-28,2022-10-05,7,2039.1,0.3,2062.0,Repeat Loan,0,Exorbitant,1,11.0,Moderate,2,8.835646922534773,9,3,10,3,3_7
21,ID_253368287591267278,253368,Kenya,287591,267278,Type_1,Low Risk,1649.0,1649.0,0.0,2022-10-24,2022-10-31,7,0.0,0.0,0.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.408530566894626,10,4,10,4,4_7
22,ID_258888243016267278,258888,Kenya,243016,267278,Type_1,Low Risk,19148.0,19723.0,156.58106777283714,2022-08-23,2022-08-30,7,5744.4,0.3,5917.0,Repeat Loan,0,Exorbitant,1,82.14285714285714,High,3,9.889591447344017,8,3,8,3,3_7
23,ID_259729304531267278,259729,Kenya,304531,267278,Type_1,Low Risk,38990.0,38990.0,0.0,2022-11-26,2022-12-03,7,1856.52,0.0476152859707617,1857.0,Repeat Loan,0,Normal,0,0.0,Zero,0,10.571086129249698,11,4,12,4,4_7
24,ID_246812279602267278,246812,Kenya,279602,267278,Type_1,Low Risk,2509.0,2527.0,37.40818766725502,2022-10-11,2022-10-18,7,752.7,0.3,758.0,Repeat Loan,0,Exorbitant,1,2.5714285714285716,Small,1,7.8351837552667485,10,4,10,4,4_7
25,ID_308408369553251804,308408,Kenya,369553,251804,Type_7,High Risk,28000.0,29166.0,217.1377551020408,2024-08-24,2024-08-31,7,5600.0,0.2,5833.0,Repeat Loan,0,Exorbitant,1,166.57142857142858,High,3,10.280793212183719,8,3,8,3,3_7
26,ID_261462257213267278,261462,Kenya,257213,267278,Type_1,Low Risk,795.0,807.0,78.70619946091644,2022-09-12,2022-09-19,7,238.5,0.3,242.0,Repeat Loan,0,Exorbitant,1,1.7142857142857142,Small,1,6.694562058521095,9,3,9,3,3_7
27,ID_272197296110267278,272197,Kenya,296110,267278,Type_1,Low Risk,1500.0,1650.0,521.4285714285713,2022-11-09,2022-11-16,7,450.0,0.3,495.0,Repeat Loan,0,Exorbitant,1,21.428571428571427,Moderate,2,7.409136443920128,11,4,11,4,4_7
28,ID_253803246918267278,253803,Kenya,246918,267278,Type_1,Low Risk,2687.0,2687.0,0.0,2022-08-29,2022-09-05,7,0.0,0.0,0.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.89655270164304,8,3,9,3,3_7
29,ID_248651296214267278,248651,Kenya,296214,267278,Type_1,Low Risk,2897.0,2995.0,176.38936831204694,2022-11-09,2022-11-16,7,869.1,0.3,899.0,Repeat Loan,0,Exorbitant,1,14.0,Moderate,2,8.005033344637111,11,4,11,4,4_7
30,ID_270665276340267278,270665,Kenya,276340,267278,Type_1,Low Risk,4259.0,4351.0,112.63542749807132,2022-10-06,2022-10-13,7,1277.7,0.3,1305.0,Repeat Loan,0,Exorbitant,1,13.142857142857142,Moderate,2,8.378390788535778,10,4,10,4,4_7
31,ID_247850281555267278,247850,Kenya,281555,267278,Type_1,Low Risk,67588.0,67588.0,0.0,2022-10-14,2022-10-21,7,0.0,0.0,0.0,Repeat Loan,0,Normal,0,0.0,Zero,0,11.12120052689692,10,4,10,4,4_7
32,ID_254380253707267278,254380,Kenya,253707,267278,Type_1,Low Risk,2394.0,2394.0,0.0,2022-09-07,2022-09-14,7,718.2,0.3,718.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.781138509845015,9,3,9,3,3_7
33,ID_267429303710267278,267429,Kenya,303710,267278,Type_1,Low Risk,1503.0,1558.0,190.80885847352914,2022-11-24,2022-12-01,7,393.05,0.261510312707917,407.0,Repeat Loan,0,Exorbitant,1,7.857142857142857,Moderate,2,7.351799869057777,11,4,12,4,4_7
34,ID_89794270816267278,89794,Kenya,270816,267278,Type_1,Low Risk,3565.0,3589.0,35.10318573432178,2022-09-29,2022-10-06,7,1069.5,0.3,1077.0,Repeat Loan,0,Exorbitant,1,3.4285714285714284,Small,1,8.185907481482324,9,3,10,3,3_7
35,ID_266298290825267278,266298,Kenya,290825,267278,Type_1,Low Risk,2188.0,2188.0,0.0,2022-10-29,2022-11-05,7,0.0,0.0,0.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.691200097522863,10,4,11,4,4_7
36,ID_238716357554267278,238716,Kenya,357554,267278,Type_4,High Risk,30000.0,33600.0,73.0,2023-08-07,2023-10-06,60,1400.0,0.0466666666666666,1568.0,Repeat Loan,0,Exorbitant,1,60.0,High,3,10.422311107413181,8,3,10,3,3_60
37,ID_244471270752267278,244471,Kenya,270752,267278,Type_1,Low Risk,8757.0,8757.0,0.0,2022-09-29,2022-10-06,7,592.75,0.0676887061779148,593.0,Repeat Loan,0,Normal,0,0.0,Zero,0,9.077722847361343,9,3,10,3,3_7
38,ID_244541299976267278,244541,Kenya,299976,267278,Type_1,Low Risk,6269.0,6336.0,55.727730556251856,2022-11-16,2022-11-23,7,0.0,0.0,0.0,Repeat Loan,0,Exorbitant,1,9.571428571428571,Moderate,2,8.754160749323518,11,4,11,4,4_7
39,ID_241552271459267278,241552,Kenya,271459,267278,Type_1,Low Risk,6753.0,6829.0,58.682913414143975,2022-09-30,2022-10-07,7,0.0,0.0,0.0,Repeat Loan,0,Exorbitant,1,10.857142857142858,Moderate,2,8.829079952564836,9,3,10,3,3_7
40,ID_240938270158267278,240938,Kenya,270158,267278,Type_1,Low Risk,4738.0,4845.0,117.75613580172465,2022-09-29,2022-10-06,7,1421.4,0.3,1454.0,Repeat Loan,0,Exorbitant,1,15.285714285714286,Moderate,2,8.48590890137647,9,3,10,3,3_7
41,ID_269503231860267278,269503,Kenya,231860,267278,Type_1,Low Risk,3869.0,3869.0,0.0,2022-08-04,2022-08-11,7,1160.7,0.3,1161.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.261009786023827,8,3,8,3,3_7
42,ID_268407277959267278,268407,Kenya,277959,267278,Type_1,Low Risk,6178.0,6254.0,64.1446607778754,2022-10-08,2022-10-15,7,0.0,0.0,0.0,Repeat Loan,0,Exorbitant,1,10.857142857142858,Moderate,2,8.741136422901011,10,4,10,4,4_7
43,ID_245095216578267278,245095,Kenya,216578,267278,Type_1,Low Risk,4350.0,4350.0,0.0,2022-07-15,2022-07-22,7,1305.0,0.3,1305.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.37816098272068,7,3,7,3,3_7
44,ID_264504294063267278,264504,Kenya,294063,267278,Type_1,Low Risk,2391.0,2391.0,0.0,2022-11-05,2022-11-12,7,717.3,0.3,722.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.779885115070522,11,4,11,4,4_7
45,ID_268176283274267278,268176,Kenya,283274,267278,Type_1,Low Risk,19334.0,19927.0,159.92921426354755,2022-10-17,2022-10-24,7,5800.2,0.3,5978.0,Repeat Loan,0,Exorbitant,1,84.71428571428571,High,3,9.899881056942016,10,4,10,4,4_7
46,ID_261645288907267278,261645,Kenya,288907,267278,Type_1,Low Risk,5663.0,5732.0,63.5327060366792,2022-10-27,2022-11-03,7,1698.9,0.3,1720.0,Repeat Loan,0,Exorbitant,1,9.857142857142858,Moderate,2,8.653994232908383,10,4,11,4,4_7
47,ID_261462257212267278,261462,Kenya,257212,267278,Type_1,Low Risk,9616.0,9733.0,63.443368195864025,2022-09-12,2022-09-19,7,2884.8,0.3,2920.0,Repeat Loan,0,Exorbitant,1,16.714285714285715,Moderate,2,9.1833801903934,9,3,9,3,3_7
48,ID_261446260037267278,261446,Kenya,260037,267278,Type_1,Low Risk,16154.0,16647.0,159.1335184562868,2022-09-15,2022-09-22,7,4846.2,0.3,4994.0,Repeat Loan,0,Exorbitant,1,70.42857142857143,High,3,9.720045368073471,9,3,9,3,3_7
49,ID_263376224636267278,263376,Kenya,224636,267278,Type_1,Low Risk,10484.0,10484.0,0.0,2022-07-25,2022-08-01,7,3145.2,0.3,3145.0,Repeat Loan,0,Normal,0,0.0,Zero,0,9.25770094333602,7,3,8,3,3_7
50,ID_252651272270267278,252651,Kenya,272270,267278,Type_1,Low Risk,23442.0,23442.0,0.0,2022-10-01,2022-10-08,7,21.66,0.0009239825953416,22.0,Repeat Loan,0,Normal,0,0.0,Zero,0,10.062327221849518,10,4,10,4,4_7
51,ID_247613300252267278,247613,Kenya,300252,267278,Type_1,Low Risk,698.0,698.0,0.0,2022-11-17,2022-11-24,7,209.4,0.3,209.0,Repeat Loan,0,Normal,0,0.0,Zero,0,6.54965074223381,11,4,11,4,4_7
52,ID_264617237273267278,264617,Kenya,237273,267278,Type_1,Low Risk,6258.0,6258.0,0.0,2022-08-15,2022-08-22,7,1877.4,0.3,1877.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.7417757069247,8,3,8,3,3_7
53,ID_246549270168251804,246549,Kenya,270168,251804,Type_5,High Risk,55000.0,57850.0,135.0974025974026,2022-09-29,2022-10-13,14,8800.0,0.16,9256.0,Repeat Loan,0,Exorbitant,1,203.57142857142858,High,3,10.965626018557122,9,3,10,3,3_14
54,ID_246145268379267278,246145,Kenya,268379,267278,Type_1,Low Risk,7500.0,7624.0,86.2095238095238,2022-09-27,2022-10-04,7,2250.0,0.3,2287.0,Repeat Loan,0,Exorbitant,1,17.714285714285715,Moderate,2,8.939187601475613,9,3,10,3,3_7
55,ID_257106293723267278,257106,Kenya,293723,267278,Type_1,Low Risk,12261.0,12485.0,95.26139792839083,2022-11-04,2022-11-11,7,0.0,0.0,0.0,Repeat Loan,0,Exorbitant,1,32.0,High,3,9.43236329562169,11,4,11,4,4_7
56,ID_246106286794267278,246106,Kenya,286794,267278,Type_1,Low Risk,2084.0,2099.0,37.53084727173019,2022-10-22,2022-10-29,7,48.6,0.023320537428023,49.0,Repeat Loan,0,Exorbitant,1,2.142857142857143,Small,1,7.649692623711514,10,4,10,4,4_7
57,ID_248472229000267278,248472,Kenya,229000,267278,Type_1,Low Risk,1700.0,1763.0,193.23529411764704,2022-07-30,2022-08-06,7,510.0,0.3,529.0,Repeat Loan,0,Exorbitant,1,9.0,Moderate,2,7.475339236566737,7,3,8,3,3_7
58,ID_259375223063267278,259375,Kenya,223063,267278,Type_1,Low Risk,5499.0,5499.0,0.0,2022-07-23,2022-07-30,7,1649.7,0.3,1650.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.612503371220562,7,3,7,3,3_7
59,ID_249726184253251804,249726,Kenya,184253,251804,Type_5,High Risk,11500.0,12703.0,272.7298136645963,2022-06-07,2022-06-21,14,1840.0,0.16,2032.0,Repeat Loan,1,Exorbitant,1,85.92857142857143,High,3,9.449672183486918,6,2,6,2,2_14
60,ID_267722220486267278,267722,Kenya,220486,267278,Type_1,Low Risk,5349.0,5547.0,193.01338033811393,2022-07-20,2022-07-27,7,1604.7,0.3,1664.0,Repeat Loan,0,Exorbitant,1,28.285714285714285,High,3,8.621192781434722,7,3,7,3,3_7
61,ID_255041238162267278,255041,Kenya,238162,267278,Type_1,Low Risk,4109.0,4109.0,0.0,2022-08-17,2022-08-24,7,1232.7,0.3,1233.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.32117830749028,8,3,8,3,3_7
62,ID_259481296898267278,259481,Kenya,296898,267278,Type_1,Low Risk,2700.0,2796.0,185.3968253968254,2022-11-10,2022-11-17,7,810.0,0.3,839.0,Repeat Loan,0,Exorbitant,1,13.714285714285714,Moderate,2,7.936302693201959,11,4,11,4,4_7
63,ID_245448357246267278,245448,Kenya,357246,267278,Type_4,High Risk,50000.0,56000.0,73.00000000000001,2023-07-14,2023-09-12,60,5833.0,0.11666,6533.0,Repeat Loan,0,Exorbitant,1,100.0,High,3,10.933124826700707,7,3,9,3,3_60
64,ID_258344298703267278,258344,Kenya,298703,267278,Type_1,Low Risk,638.0,638.0,0.0,2022-11-14,2022-11-21,7,191.4,0.3,191.0,Repeat Loan,0,Normal,0,0.0,Zero,0,6.459904454377535,11,4,11,4,4_7
65,ID_308549368425267278,308549,Kenya,368425,267278,Type_7,High Risk,6554.0,6784.0,182.9853088626357,2024-08-02,2024-08-09,7,1311.0,0.200030515715593,1357.0,Repeat Loan,0,Exorbitant,1,32.857142857142854,High,3,8.82246957226897,8,3,8,3,3_7
66,ID_263245260245267278,263245,Kenya,260245,267278,Type_1,Low Risk,5817.0,5817.0,0.0,2022-09-16,2022-09-23,7,1745.1,0.3,1745.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.668711839055147,9,3,9,3,3_7
67,ID_257387297008267278,257387,Kenya,297008,267278,Type_1,Low Risk,918.0,946.0,159.041394335512,2022-11-10,2022-11-17,7,275.4,0.3,284.0,Repeat Loan,0,Exorbitant,1,4.0,Small,1,6.853299093186078,11,4,11,4,4_7
68,ID_254276262355267278,254276,Kenya,262355,267278,Type_1,Low Risk,1350.0,1350.0,0.0,2022-09-19,2022-09-26,7,405.0,0.3,405.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.208600337960199,9,3,9,3,3_7
69,ID_14362261118267278,14362,Kenya,261118,267278,Type_1,Low Risk,9198.0,9310.0,63.49206349206349,2022-09-17,2022-09-24,7,2759.4,0.3,2793.0,Repeat Loan,0,Exorbitant,1,16.0,Moderate,2,9.138951775888529,9,3,9,3,3_7
70,ID_260863236259267278,260863,Kenya,236259,267278,Type_1,Low Risk,949.0,932.0,-93.4065934065934,2022-08-13,2022-08-20,7,284.7,0.3,287.0,Repeat Loan,0,Normal,0,-2.4285714285714284,Zero,0,6.838405200847344,8,3,8,3,3_7
71,ID_262582245450267278,262582,Kenya,245450,267278,Type_1,Low Risk,2250.0,2250.0,0.0,2022-08-27,2022-09-03,7,675.0,0.3,675.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.719129840906732,8,3,9,3,3_7
72,ID_251914233273267278,251914,Kenya,233273,267278,Type_1,Low Risk,5888.0,6223.0,296.66876940993785,2022-08-08,2022-08-15,7,1766.4,0.3,1867.0,Repeat Loan,0,Exorbitant,1,47.857142857142854,High,3,8.736168065858228,8,3,8,3,3_7
73,ID_264329238037267278,264329,Kenya,238037,267278,Type_1,Low Risk,2249.0,2249.0,0.0,2022-08-17,2022-08-24,7,674.7,0.3,675.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.718685495198466,8,3,8,3,3_7
74,ID_254427280898267278,254427,Kenya,280898,267278,Type_1,Low Risk,662.0,683.0,165.40785498489424,2022-10-13,2022-10-20,7,198.6,0.3,205.0,Repeat Loan,0,Exorbitant,1,3.0,Small,1,6.52795791762255,10,4,10,4,4_7
75,ID_263235281931267278,263235,Kenya,281931,267278,Type_1,Low Risk,6612.0,6723.0,87.53564946849883,2022-10-14,2022-10-21,7,1.28,0.0001935874168179,1.0,Repeat Loan,0,Exorbitant,1,15.857142857142858,Moderate,2,8.813438494528507,10,4,10,4,4_7
76,ID_253656228558267278,253656,Kenya,228558,267278,Type_1,Low Risk,1510.0,1510.0,0.0,2022-07-30,2022-08-06,7,453.0,0.3,453.0,Repeat Loan,0,Normal,0,0.0,Zero,0,7.32052696227274,7,3,8,3,3_7
77,ID_264826217327267278,264826,Kenya,217327,267278,Type_1,Low Risk,15837.0,15837.0,0.0,2022-07-16,2022-07-23,7,4751.1,0.3,4751.0,Repeat Loan,0,Normal,0,0.0,Zero,0,9.670167394770358,7,3,7,3,3_7
78,ID_259588270038267278,259588,Kenya,270038,267278,Type_1,Low Risk,1078.0,1094.0,77.39199575934269,2022-09-28,2022-10-05,7,323.4,0.3,328.0,Repeat Loan,0,Exorbitant,1,2.2857142857142856,Small,1,6.9985096422506015,9,3,10,3,3_7
79,ID_308938372922267278,308938,Kenya,372922,267278,Type_7,High Risk,1710.0,1770.0,182.95739348370927,2024-10-10,2024-10-17,7,342.0,0.2,354.0,Repeat Loan,0,Exorbitant,1,8.571428571428571,Moderate,2,7.479299637782834,10,4,10,4,4_7
80,ID_253554292383267278,253554,Kenya,292383,267278,Type_1,Low Risk,4008.0,4153.0,188.6405759908754,2022-11-02,2022-11-09,7,1202.4,0.3,1246.0,Repeat Loan,0,Exorbitant,1,20.714285714285715,Moderate,2,8.331827004436057,11,4,11,4,4_7
81,ID_268209272881267278,268209,Kenya,272881,267278,Type_1,Low Risk,5277.0,5277.0,0.0,2022-10-03,2022-10-10,7,1583.1,0.3,1583.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.57130251706327,10,4,10,4,4_7
82,ID_271681294599267278,271681,Kenya,294599,267278,Type_1,Low Risk,3799.0,3853.0,74.11724890008648,2022-11-05,2022-11-12,7,1139.7,0.3,1156.0,Repeat Loan,0,Exorbitant,1,7.714285714285714,Moderate,2,8.256866848974312,11,4,11,4,4_7
83,ID_249585297231267278,249585,Kenya,297231,267278,Type_1,Low Risk,7818.0,7865.0,31.34707451668311,2022-11-11,2022-11-18,7,2345.4,0.3,2360.0,Repeat Loan,0,Exorbitant,1,6.714285714285714,Moderate,2,8.970304952991755,11,4,11,4,4_7
84,ID_254506294758267278,254506,Kenya,294758,267278,Type_1,Low Risk,479.0,484.0,54.42886966895318,2022-11-05,2022-11-12,7,0.0,0.0,0.0,Repeat Loan,0,Exorbitant,1,0.7142857142857143,Small,1,6.184148890937483,11,4,11,4,4_7
85,ID_259540216166267278,259540,Kenya,216166,267278,Type_1,Low Risk,16336.0,16534.0,63.199594235343504,2022-07-15,2022-07-22,7,4900.8,0.3,4960.0,Repeat Loan,0,Exorbitant,1,28.285714285714285,High,3,9.713234625415893,7,3,7,3,3_7
86,ID_251972275867267278,251972,Kenya,275867,267278,Type_1,Low Risk,4869.0,4869.0,0.0,2022-10-06,2022-10-13,7,0.0,0.0,0.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.490849216076635,10,4,10,4,4_7
87,ID_252619244189267278,252619,Kenya,244189,267278,Type_1,Low Risk,6889.0,6973.0,63.57961968355348,2022-08-25,2022-09-01,7,769.27,0.111666424735084,779.0,Repeat Loan,0,Exorbitant,1,12.0,Moderate,2,8.849944227235596,8,3,9,3,3_7
88,ID_253835301776267278,253835,Kenya,301776,267278,Type_1,Low Risk,13917.0,14087.0,63.693940607068434,2022-11-24,2022-12-01,7,4175.1,0.3,4226.0,Repeat Loan,0,Exorbitant,1,24.285714285714285,High,3,9.553078650176042,11,4,12,4,4_7
89,ID_262508298463267278,262508,Kenya,298463,267278,Type_1,Low Risk,3379.0,3379.0,0.0,2022-11-14,2022-11-21,7,1013.7,0.3,1014.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.125630988477065,11,4,11,4,4_7
90,ID_249883231941267278,249883,Kenya,231941,267278,Type_1,Low Risk,2714.0,2813.0,190.20423202442362,2022-08-04,2022-08-11,7,814.2,0.3,844.0,Repeat Loan,0,Exorbitant,1,14.142857142857142,Moderate,2,7.942362237674335,8,3,8,3,3_7
91,ID_264468255166267278,264468,Kenya,255166,267278,Type_1,Low Risk,1038.0,1062.0,120.56151940545004,2022-09-09,2022-09-16,7,311.4,0.3,319.0,Repeat Loan,0,Exorbitant,1,3.4285714285714284,Small,1,6.968850378341948,9,3,9,3,3_7
92,ID_259207263942267278,259207,Kenya,263942,267278,Type_1,Low Risk,1035.0,1660.0,3148.7232574189093,2022-09-20,2022-09-27,7,310.5,0.3,498.0,Repeat Loan,1,Exorbitant,1,89.28571428571429,High,3,7.415175109613295,9,3,9,3,3_7
93,ID_271072298357267278,271072,Kenya,298357,267278,Type_6,High Risk,8740.0,8915.0,104.40503432494279,2022-11-12,2022-11-19,7,1748.0,0.2,1783.0,Repeat Loan,0,Exorbitant,1,25.0,High,3,9.095602694505759,11,4,11,4,4_7
94,ID_252133219766267278,252133,Kenya,219766,267278,Type_1,Low Risk,5000.0,5065.0,67.78571428571428,2022-07-19,2022-07-26,7,1500.0,0.3,1520.0,Repeat Loan,0,Exorbitant,1,9.285714285714286,Moderate,2,8.53030683056162,7,3,7,3,3_7
95,ID_252908279490267278,252908,Kenya,279490,267278,Type_1,Low Risk,610.0,615.0,42.74004683840749,2022-10-11,2022-10-18,7,0.0,0.0,0.0,Repeat Loan,0,Exorbitant,1,0.7142857142857143,Small,1,6.423246963533519,10,4,10,4,4_7
96,ID_238716357554251804,238716,Kenya,357554,251804,Type_4,High Risk,30000.0,33600.0,73.0,2023-08-07,2023-10-06,60,1400.0,0.0466666666666666,1568.0,Repeat Loan,0,Exorbitant,1,60.0,High,3,10.422311107413181,8,3,10,3,3_60
97,ID_270089293325267278,270089,Kenya,293325,267278,Type_1,Low Risk,1500.0,1515.0,52.14285714285714,2022-11-03,2022-11-10,7,450.0,0.3,455.0,Repeat Loan,0,Exorbitant,1,2.142857142857143,Small,1,7.323830566202317,11,4,11,4,4_7
98,ID_254519298678267278,254519,Kenya,298678,267278,Type_1,Low Risk,2340.0,2425.0,189.4078144078144,2022-11-14,2022-11-21,7,702.0,0.3,728.0,Repeat Loan,0,Exorbitant,1,12.142857142857142,Moderate,2,7.793999089503996,11,4,11,4,4_7
99,ID_310020374195251804,310020,Kenya,374195,251804,Type_7,High Risk,9400.0,9730.0,183.05471124620058,2024-10-29,2024-11-05,7,1880.0,0.2,1946.0,Repeat Loan,0,Exorbitant,1,47.142857142857146,High,3,9.18307194482199,10,4,11,4,4_7
100,ID_308920371332251804,308920,Kenya,371332,251804,Type_7,High Risk,6998.0,7641.0,479.10627526231974,2024-09-18,2024-09-25,7,1399.0,0.19991426121749,1528.0,Repeat Loan,1,Exorbitant,1,91.85714285714286,High,3,8.941414628006845,9,3,9,3,3_7
101,ID_259514298651267278,259514,Kenya,298651,267278,Type_1,Low Risk,620.0,721.0,849.4239631336404,2022-11-14,2022-11-21,7,186.0,0.3,216.0,Repeat Loan,0,Exorbitant,1,14.428571428571429,Moderate,2,6.582025138892826,11,4,11,4,4_7
